Distrito,Metro
Centro Histórico,Zócalo
Buenavista-Reforma,Revolución
Tlatelolco,Tlatelolco
Morelos,Tepito
Moctezuma,La Villa-Basílica
Balbuena,Velódromo
Balbuena,Velódromo
Obrera,San Antonio Abad
Condesa,Juanacatlán
Condesa,Juanacatlán
Napoles,San Pedro de los Pinos
Napoles,San Pedro de los Pinos
Vertiz Narvarte,Eugenia
Reforma Iztaccihuatl,Villa de Cortés
Reforma Iztaccihuatl,Villa de Cortés
Palacio de los Deportes,Velódromo
San Andrés Tetepilco,Portales
San Andrés Tetepilco,Portales
San Andrés Tetepilco,Portales
Portales,Portales
Del Valle,Etiopía/Plaza de la Transparencia
Chapultepec-Polanco,Polanco
Panteones,Panteones
Panteones,Panteones
Tezozomoc,Tezozómoc
El Rosario,El Rosario
Industrial Vallejo,Norte 45
La Raza,La Raza
La Raza,La Raza
Cuautepec,Politécnico
Reclusorio Norte,Barranca del Muerto
Ticomán,Indios Verdes
Nueva Industrial Vallejo,Vallejo
Instituto Politécnico,Pantitlán
Tepeyac,La Villa-Basílica
La Villa,La Villa-Basílica
Nueva Atzacoalco,Martín Carrera
San Felipe de Jesús,Nezahualcóyotl
Deportivo los Galeana,Villa de Aragón
Bondojito,Bondojito
San Juan de Aragón,Aragón
San Juan de Aragón,Aragón
Aeropuerto,Terminal Aérea
Pantitlán,Pantitlán
Pantitlán,Pantitlán
Zaragoza,Observatorio
UPIICSA,Iztacalco
Central de Abastos,Aculco
Central de Abastos,Eje central
UAM Iztapalapa,UAM-I
Escuadrón 201,Escuadrón 201
Parque Cerro de la Estrella,Cerro de la Estrella
Lomas Estrella,Mixcoac
Canal Nacional,Canal del Norte
Canal Nacional,Canal del Norte
Canal Nacional,Canal del Norte
Canal Nacional,Canal del Norte
Coapa,Tacubaya
Coapa,Tacubaya
Culhuacán CTM,Culhuacán
Campestre Churubusco,Tasqueña
Campestre Churubusco,Tasqueña
Viveros,Indios Verdes
Viveros,Indios Verdes
Pedregal de Santo Domingo,Copilco
Xotepingo,Universidad
Estadio Azteca,Universidad
Estadio Azteca,Universidad
Ciudad Universitaria,Universidad
Ciudad Universitaria,Universidad
Olivar de los Padres-San Jerónimo,Barranca del Muerto
Olivar de los Padres-San Jerónimo,Barranca del Muerto
Las Águilas,Barranca del Muerto
Santa Lucia,Observatorio
Molinos,Barranca del Muerto
Santa Fe,Candelaria
Observatorio,Observatorio
Observatorio,Observatorio
Las Lomas,Tláhuac
Las Lomas,Mixcoac
Las Lomas,Mixcoac
Cuajimalpa,San Antonio
San Lorenzo Acopilco,Tacubaya
San Bartolo-San Mateo,Cerro de la Estrella
San Bartolo-San Mateo,Cerro de la Estrella
Cerro del Judio,Copilco
Cerro del Judio,Copilco
La Magdalena Contreras,Copilco
La Magdalena Contreras,Mixcoac
Villa Olimpica,Barranca del Muerto
Padierna,Tasqueña
Padierna,Tasqueña
San Pedro Martir,Universidad
Pueblo del Ajusco,Universidad
Pueblo del Ajusco,Tasqueña
Tepepan,Ermita
Tepepan,Ermita
Noria,Sevilla
Nativitas,Nativitas
Nativitas,Nativitas
Milpa Alta,Tláhuac
Milpa Alta,Tláhuac
Tulyehualco,Zapotitlán
El Molino Tezonco,Olivos
El Molino Tezonco,Tezonco
Tláhuac,Nopalera
Mixquic,Tláhuac
Santa Catarina,Miguel Ángel de Quevedo
Reclusorio Oriente,Periférico Oriente
Reclusorio Oriente,Periférico Oriente
Desarrollo Urbano Quetzalcoatl,Nopalera
Buenavista Iztapalapa,Tlaltenco
Santa Maria Xalpa,Acatitla
San Miguel Teotongo,Santa Marta
San Miguel Teotongo,Santa Marta
Santa Martha Acatitla,Acatitla
Juan Escutia,Canal de San Juan
Santa Cruz Meyehualco,UAM-I
Ejército Constitucionalista,Tepalcates
Localidades Pte Chamapa-Lechería,Cuatro Caminos
Localidades Pte Chamapa-Lechería,Cuatro Caminos
Localidades Pte Chamapa-Lechería,Cuatro Caminos
Localidades Pte Chamapa-Lechería,Cuatro Caminos
CC Interlomas-Lomas de Tecamachalco,Observatorio
CC Interlomas-Lomas de Tecamachalco,Observatorio
Club de Golf Lomas-Campo Militar Naucalpan,Observatorio
Club de Golf Lomas-Campo Militar Naucalpan,Observatorio
San José de los Leones,Cuatro Caminos
